T	E	C	deltaC	M	S
1.0	-4626.455049944506	1.0868321551710367	0.05788520739434943
1.1	-4694.073251942286	0.11935137831105672	0.021100500590234102
1.2	-4695.396226415094	0.1013169155176729	0.02120843292545704
1.3	-4666.57935627081	0.13457593496381884	0.02647972126843655
1.4	-4625.433962264151	0.19127665875897729	0.03399737441928919
1.5	-4561.820199778024	0.23468854307333628	0.04034814358284569
1.6	-4499.742508324084	0.31189863032952414	0.04961500855588724
1.7	-4420.106548279689	0.3788531422393339	0.05809927624729579
1.8	-4304.60821309656	0.5229945738231878	0.07227822035003689
1.9	-4155.897891231964	0.5988237884029788	0.08163745874621224
2.0	-4006.4106548279688	0.647436632376723	0.08935420270040004
2.1	-3785.2031076581575	1.0183559040017343	0.11766720610182163
2.2	-3523.640399556049	1.1791045293525968	0.1326432605169722
2.3	-3246.9345172031076	1.0911216175697027	0.13339844596014805
2.4	-2976.6392896781354	1.0618164823918292	0.1373163740810069
2.5	-2734.9789123196447	0.7990669637707472	0.12408461875595357
2.6	-2555.968923418424	0.6696495760697321	0.1181363371244792
2.7	-2393.4605993340733	0.607917485450623	0.11688867504320759
2.8	-2269.700332963374	0.49444217818641895	0.10932063381288608
2.9	-2143.9911209766924	0.4200882322043092	0.10436493573133226
3.0	-2034.170921198668	0.4106130806824813	0.10673921364881715
