T	E	C	deltaC	M	S
1.0	-4993.269700332963	0.0225258436486125	0.008333489389584338	2498.2863485016646	0.0014926180187612773
1.1	-4984.4039955604885	0.04239511492700616	0.012575838391840614	2495.9911209766924	0.003225478344681588
1.2	-4971.786903440621	0.06593879808361332	0.01710953133548746	2492.6281908990013	0.0057271342768023415
1.3	-4951.0854605993345	0.0984064831395121	0.022643396012801617	2487.0654827968924	0.00979463383068259
1.4	-4919.6182019977805	0.15591489308570725	0.030694332293220303	2478.255271920089	0.01855249324786876
1.5	-4877.0299667036625	0.19250120920472674	0.03654217087866834	2466.175360710322	0.02589605416432023
1.6	-4821.895671476138	0.2677376167307375	0.04596857418554041	2449.6625971143176	0.04328119576070458
1.7	-4746.583795782464	0.3331337227633668	0.05448093778813728	2425.338512763596	0.06800646434855812
1.8	-4650.61487236404	0.43081889268562745	0.06560036099836927	2392.8901220865705	0.10890273081428475
1.9	-4522.304106548279	0.5517411155726276	0.07836238209534328	2344.5371809101	0.21270868729250997
2.0	-4355.91564927858	0.6988441275630146	0.09283388163288253	2273.9245283018868	0.38880596402324735
2.1	-4158.486126526082	0.9374185977869428	0.11289440826364382	2175.2652608213098	0.8561521278291586
2.2	-3864.4572697003327	1.438550334787381	0.14651144988110815	1965.3984461709213	3.0508594405861063
2.3	-3402.1487236403996	1.9034504464506712	0.17619151004237105	-950.6681465038846	142.82310819394965
2.4	-3029.056603773585	1.2093490344993512	0.14654581716408716	-100.95449500554939	70.30535759050966
2.5	-2758.3218645948946	0.7817261644762754	0.12273083440430715	-88.61709211986681	25.373276785221993
2.6	-2573.274139844617	0.7293256859544157	0.12328790042500194	10.039955604883463	14.156796475983645
2.7	-2409.3629300776915	0.6019148558826889	0.11631015900282872	25.74472807991121	8.910630211281026
2.8	-2266.654827968923	0.5279169206267071	0.11296064838130908	-10.13762486126526	6.041350711038085
2.9	-2149.447280799112	0.4407627802026346	0.10690224087066205	11.875693673695894	4.87783812280477
3.0	-2041.0122086570477	0.44293643436698865	0.11086087740464488	0.7613762486126526	3.952715308308317
